Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 71.4000: (LOAD F4 E4 P2) [D:3.0000; C:0.1000]
 72.2334: (LOAD F1 E1 P38) [D:3.0000; C:0.1000]
 72.4000: (LOAD F4 E4 P23) [D:4.0000; C:0.1000]
 72.4000: (MOVER_TREN T2 E4 E1) [D:2.5000; C:0.1000]
 73.3001: (LOAD F2 A1 P26) [D:4.0000; C:0.1000]
 74.9000: (UNLOAD T2 E1 P8) [D:3.0000; C:0.1000]
 76.4000: (MOVER_FURGONETA F4 D3 E4 CA3 CIUDAD3) [D:1.4000; C:0.1000]
 77.3001: (MOVER_FURGONETA F2 D1 A1 E1 CIUDAD1) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P4) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P11) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P13) [D:4.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P14) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P21) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P22) [D:3.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P23) [D:4.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P24) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P2) [D:3.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P31) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P1) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P33) [D:4.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P34) [D:2.0000; C:0.1000]
 77.8000: (UNLOAD F4 CA3 P3) [D:4.0000; C:0.1000]
 77.9000: (LOAD F1 E1 P8) [D:3.0000; C:0.1000]
 77.9000: (MOVER_TREN T2 E1 E3) [D:3.0000; C:0.1000]
 79.3001: (MOVER_FURGONETA F2 D1 E1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 80.3001: (BAJAR_CONDUCTOR F2 D1 CA1) [D:2.0000; C:0.1000]
 80.3001: (UNLOAD F2 CA1 P26) [D:4.0000; C:0.1000]
 80.9000: (UNLOAD T2 E3 P17) [D:2.0000; C:0.1000]
 82.3001: (MOVER_CONDUCTOR D1 CA1 E1 CIUDAD1) [D:5.0000; C:0.1000]
 82.9000: (LOAD F3 E3 P17) [D:2.0000; C:0.1000]
 82.9000: (MOVER_TREN T2 E3 E1) [D:3.0000; C:0.1000]
 84.9000: (MOVER_FURGONETA F3 D2 E3 CA2 CIUDAD2) [D:3.0000; C:0.1000]
 85.9000: (UNLOAD T2 E1 P18) [D:3.0000; C:0.1000]
 87.3001: (SUBIR_CONDUCTOR F1 D1 E1) [D:2.0000; C:0.1000]
